nombre_paciente,ciudad,nombres,apellidos,edad_paciente,genero,num_documento,telefono,correo_electronico,tipo_seguro,distrito,especialidad,prioridad,motivo,fecha_cita,hora_cita,turno_cita,estado_cita,nivel_riesgo,id_registro,pais,region,provincia,ubigeo,establecimiento_salud,tipo_establecimiento,id_paciente,genero_paciente,fecha_nacimiento,id_medico,nombre_medico,especialidad_medico,correo_medico,id_cita,codigo_cita,tipo_cita,programada_en,estado,sintoma,codigo_cie10,descripcion_cie10,canal,texto_voz,texto,intencion,codigo_ticket,ticket_confirmado,notificacion_email,notificacion_sms,num_inasistencias_previas,distancia_km,dias_para_cita,minutos_espera_estimados,puntaje_riesgo,objetivo_no_show,creado_en
Hugo Medina Yupanqui,Pampa Tigre,Hugo,Medina Yupanqui,73,M,33357554,963502456,hugo.medina477@gmail.com,EsSalud,Villa Rica,Endocrinología,alta,Fiebre alta desde hace 3 días,2026-05-06,10:00,manana,completed,medio,11,Peru,Junín,Chanchamayo,120306,Puesto de Salud Villa Rica,Puesto de Salud,8,M,1952-07-09,19,Dra. Yesenia Baldeón Yupanqui,Endocrinología,yesenia.baldeonyupanqui@hospitalpichanaki.gob.pe,11,PICHANAKI-CIT-000011,primera_vez,2026-05-06 10:00:00,completed,fiebre,E03,Hipotiroidismo,web,Cuáles son los especialistas que atienden en la tarde,Cuáles son los especialistas que atienden en la tarde,consultar_doctor,PICHANAKI-TCK-887443,0,0,0,2,75.3,0,53,76.3,0,2026-04-19 00:50:46
Dante Castro Rodríguez,Buenos Aires,Dante,Castro Rodríguez,40,M,99600766,955374884,dante.castro929@gmail.com,EsSalud,Satipo,Medicina General,alta,Traumatismo por caída en vía pública,2026-06-02,09:00,manana,pending,bajo,12,Peru,Junín,Chanchamayo,120701,Puesto de Salud Alto Cahuapanas,Puesto de Salud,9,M,1985-10-18,50,Dr. Jorge Cárdenas Flores,Medicina General,jorge.cardenasflores@hospitalpichanaki.gob.pe,12,PICHANAKI-CIT-000012,control,2026-06-02 09:00:00,pending,herida,D50,Anemia ferropénica,presencial,Quisiera agendar una consulta por teléfono con el médico general,Quisiera agendar una consulta por teléfono con el médico general,agendar_cita,PICHANAKI-TCK-446954,0,1,0,0,102.3,0,40,36.5,0,2026-04-14 00:50:46
Elías Reyes Huertas,Quimiri,Elías,Reyes Huertas,5,M,50079111,978947562,elias.reyes225@gmail.com,SIS,Perené,Odontología,alta,Evaluación de hipertensión arterial,2026-05-20,14:00,tarde,completed,bajo,13,Peru,Junín,Chanchamayo,120303,Puesto de Salud Alto Cahuapanas,Puesto de Salud,10,M,2020-12-05,9,Dra. Lidia Huertas López,Odontología,lidia.huertaslopez@hospitalpichanaki.gob.pe,13,PICHANAKI-CIT-000013,primera_vez,2026-05-20 14:00:00,completed,dolor en el pecho,K02,Caries dental,voz_ia,Necesito separar una consulta con el psicólogo por ansiedad,Necesito separar una consulta con el psicólogo por ansiedad,agendar_cita,PICHANAKI-TCK-542042,0,1,1,0,17.8,0,36,8.3,0,2026-04-03 00:50:46
José Carhuallanqui Huamán,San José,José,Carhuallanqui Huamán,75,M,12735359,962419423,jose.carhuallanqui621@gmail.com,EsSalud,Río Negro,Endocrinología,alta,Evaluación de hipertensión arterial,2026-06-03,09:00,manana,cancelled,alto,14,Peru,Junín,Chanchamayo,120701,Puesto de Salud Villa Rica,Puesto de Salud,11,M,1951-03-11,20,Dra. Yesenia Baldeón Yupanqui,Endocrinología,yesenia.baldeonyupanqui@hospitalpichanaki.gob.pe,14,PICHANAKI-CIT-000014,control,2026-06-03 09:00:00,cancelled,dolor en el pecho,E03,Hipotiroidismo,presencial,Quiero revisar el horario de mi consulta por favor,Quiero revisar el horario de mi consulta por favor,consultar_cita,PICHANAKI-TCK-630538,0,1,1,2,52.9,1,72,73.4,1,2026-04-23 00:50:46
Hugo Medina Yupanqui,Pampa Tigre,Hugo,Medina Yupanqui,73,M,33357554,963502456,hugo.medina477@gmail.com,EsSalud,Villa Rica,Neumología,media,Evaluación de glucemia,2026-06-03,13:30,tarde,cancelled,medio,15,Peru,Junín,Chanchamayo,120306,Puesto de Salud Villa Rica,Puesto de Salud,8,M,1952-07-09,40,Dra. Olga Morales Torres,Neumología,olga.moralestorres@hospitalpichanaki.gob.pe,15,PICHANAKI-CIT-000015,primera_vez,2026-06-03 13:30:00,cancelled,diabetes,J45,Asma,telefono,"Buenas tardes, quiero confirmar los datos de mi cita médica","Buenas tardes, quiero confirmar los datos de mi cita médica",consultar_cita,PICHANAKI-TCK-611233,0,1,0,0,75.3,1,69,49.0,1,2026-04-30 00:50:46
Elías Untiveros Morales,Bajo Yurinaki,Elías,Untiveros Morales,28,M,63100814,986117574,elias.untiveros598@gmail.com,SIS,Pichanaki,Medicina General,alta,Traumatismo por caída en vía pública,2026-06-09,12:15,manana,pending,bajo,16,Peru,Junín,Chanchamayo,120304,Centro de Salud Perené,Centro de Salud,2,M,1997-09-27,49,Dr. Pedro Sánchez Quispe,Medicina General,pedro.sanchezquispe@hospitalpichanaki.gob.pe,16,PICHANAKI-CIT-000016,primera_vez,2026-06-09 12:15:00,pending,herida,J00,Resfriado común,web,"Buenas tardes, quiero confirmar los datos de mi cita médica","Buenas tardes, quiero confirmar los datos de mi cita médica",consultar_cita,PICHANAKI-TCK-882169,0,1,0,0,5.0,7,54,3.5,0,2026-05-26 00:50:46
Miguel Chávez Rodríguez,San José,Miguel,Chávez Rodríguez,67,M,30863865,926726249,miguel.chavez867@gmail.com,SIS,San Luis de Shuaro,Cardiología,baja,Quemadura de segundo grado en brazo,2026-06-08,14:30,tarde,pending,alto,17,Peru,Junín,Chanchamayo,120305,Hospital de Pichanaki,Hospital II-1,6,M,1958-09-09,13,Dr. Fernando García Torres,Cardiología,fernando.garciatorres@hospitalpichanaki.gob.pe,17,PICHANAKI-CIT-000017,primera_vez,2026-06-08 14:30:00,pending,herida,I10,Hipertensión esencial,voz_ia,Quisiera saber qué doctores atienden hoy,Quisiera saber qué doctores atienden hoy,consultar_doctor,PICHANAKI-TCK-831295,0,0,0,0,37.4,6,27,31.0,1,2026-04-27 00:50:46
Teodora Gómez Sánchez,La Merced,Teodora,Gómez Sánchez,77,F,74119726,910456189,teodora.gomez88@gmail.com,Sin seguro,Pichanaki,Oftalmología,baja,Evaluación de glucemia,2026-07-21,12:00,manana,rescheduled,medio,18,Peru,Junín,Chanchamayo,120304,Puesto de Salud Santo Domingo,Puesto de Salud,12,F,1949-02-12,25,Dr. Walter Ramos Cárdenas,Oftalmología,walter.ramoscardenas@hospitalpichanaki.gob.pe,18,PICHANAKI-CIT-000018,primera_vez,2026-07-21 12:00:00,rescheduled,diabetes,H10,Conjuntivitis,telefono,"Buenas tardes, deseo eliminar la cita que tenía agendada para el jueves","Buenas tardes, deseo eliminar la cita que tenía agendada para el jueves",cancelar_cita,PICHANAKI-TCK-264136,0,1,0,0,3.8,49,32,49.6,0,2026-05-15 00:50:46
Teodora Gómez Sánchez,Alto Cahuapanas,Teodora,Gómez Sánchez,77,F,74119726,910456189,teodora.gomez88@gmail.com,Sin seguro,Pichanaki,Urología,media,Reacción alérgica cutánea,2026-05-21,08:30,manana,completed,medio,19,Peru,Junín,Chanchamayo,120304,Puesto de Salud Santo Domingo,Puesto de Salud,12,F,1949-02-12,17,Dr. Elmer Ramírez Tapia,Urología,elmer.ramireztapia@hospitalpichanaki.gob.pe,19,PICHANAKI-CIT-000019,control,2026-05-21 08:30:00,completed,alergias,N40,Hiperplasia prostática,whatsapp,"Buen día, puedo cambiar mi cita para un horario más temprano","Buen día, puedo cambiar mi cita para un horario más temprano",reprogramar_cita,PICHANAKI-TCK-184349,0,1,0,2,3.8,0,23,48.2,0,2026-05-28 00:50:46
Ronald Córdova Mamani,San Pedro,Ronald,Córdova Mamani,57,M,73149551,954294894,ronald.cordova419@gmail.com,SIS,Villa Rica,Odontología,media,Control de diabetes mellitus tipo 2,2026-06-23,13:45,tarde,confirmed,medio,20,Peru,Junín,Chanchamayo,120306,Centro de Salud Perené,Centro de Salud,13,M,1969-03-19,49,Dra. Lidia Huertas López,Odontología,lidia.huertaslopez@hospitalpichanaki.gob.pe,20,PICHANAKI-CIT-000020,control,2026-06-23 13:45:00,confirmed,diabetes,K02,Caries dental,whatsapp,Hay farmacia en el hospital o tengo que comprar afuera,Hay farmacia en el hospital o tengo que comprar afuera,informacion_servicios,PICHANAKI-TCK-154118,1,1,0,0,85.7,21,49,47.4,0,2026-05-02 00:50:46
Raúl Vega Salazar,Quimiri,Raúl,Vega Salazar,7,M,22510327,928196192,raul.vega723@gmail.com,SIS,Mazamari,Medicina General,baja,Lumbago crónico agudizado,2026-07-06,07:30,manana,confirmed,alto,21,Peru,Junín,Chanchamayo,120702,Centro de Salud San Ramón,Centro de Salud,14,M,2018-11-08,33,Dr. Pedro Sánchez Quispe,Medicina General,pedro.sanchezquispe@hospitalpichanaki.gob.pe,21,PICHANAKI-CIT-000021,control,2026-07-06 07:30:00,confirmed,dolor de espalda,D50,Anemia ferropénica,telefono,Necesito verificar si mi cita sigue siendo a las 10 de la mañana,Necesito verificar si mi cita sigue siendo a las 10 de la mañana,consultar_cita,PICHANAKI-TCK-899929,1,1,0,2,99.4,34,54,93.8,1,2026-05-18 00:50:46
Joel Mamani Morales,Santo Domingo,Joel,Mamani Morales,56,M,61167978,936894055,joel.mamani891@gmail.com,SIS,Mazamari,Medicina General,media,Evaluación para lentes correctores,2026-06-14,17:45,tarde,rescheduled,alto,22,Peru,Junín,Chanchamayo,120702,Hospital de Satipo,Hospital II-1,15,M,1969-06-20,5,Dra. Carmen Ramos López,Medicina General,carmen.ramoslopez@hospitalpichanaki.gob.pe,22,PICHANAKI-CIT-000022,primera_vez,2026-06-14 17:45:00,rescheduled,problemas de visión,N39,Infección urinaria,web,Necesito una cita urgente para mi niño que tiene fiebre alta,Necesito una cita urgente para mi niño que tiene fiebre alta,agendar_cita,PICHANAKI-TCK-171744,0,1,0,2,73.0,12,66,55.8,1,2026-05-06 00:50:46
Ronald Córdova Mamani,San Miguel,Ronald,Córdova Mamani,57,M,73149551,954294894,ronald.cordova419@gmail.com,SIS,Villa Rica,Odontología,alta,Control por migraña recurrente,2026-06-27,11:45,manana,confirmed,medio,23,Peru,Junín,Chanchamayo,120306,Centro de Salud Perené,Centro de Salud,13,M,1969-03-19,11,Dra. Lidia Huertas López,Odontología,lidia.huertaslopez@hospitalpichanaki.gob.pe,23,PICHANAKI-CIT-000023,control,2026-06-27 11:45:00,confirmed,dolor de cabeza intenso,K08,Pérdida de dientes,telefono,Quisiera saber el estado de mi cita por favor,Quisiera saber el estado de mi cita por favor,consultar_cita,PICHANAKI-TCK-250069,1,1,0,0,85.7,25,27,66.9,0,2026-05-04 00:50:46
José Carhuallanqui Huamán,San Cristóbal,José,Carhuallanqui Huamán,75,M,12735359,962419423,jose.carhuallanqui621@gmail.com,EsSalud,Río Negro,Traumatología,baja,Urticaria por posible alergia alimentaria,2026-06-21,13:15,tarde,confirmed,medio,24,Peru,Junín,Chanchamayo,120701,Puesto de Salud Villa Rica,Puesto de Salud,11,M,1951-03-11,38,Dr. Miguel Ríos Pineda,Traumatología,miguel.riospineda@hospitalpichanaki.gob.pe,24,PICHANAKI-CIT-000024,control,2026-06-21 13:15:00,confirmed,alergias,M17,Artrosis de rodilla,web,"Ayuda, es una emergencia, mi papá se cayó y no puede moverse","Ayuda, es una emergencia, mi papá se cayó y no puede moverse",emergencia,PICHANAKI-TCK-790203,1,1,1,1,52.9,19,53,79.2,0,2026-04-16 00:50:46
Bertha Tapia Vásquez,Villa Rica,Bertha,Tapia Vásquez,28,F,93334601,927761060,bertha.tapia808@gmail.com,EsSalud,Perené,Medicina General,baja,Dolor de oído intenso desde hace 2 días,2026-06-04,16:30,tarde,confirmed,alto,25,Peru,Junín,Chanchamayo,120303,Hospital de Pichanaki,Hospital II-1,16,F,1998-03-04,13,Dra. Carmen Ramos López,Medicina General,carmen.ramoslopez@hospitalpichanaki.gob.pe,25,PICHANAKI-CIT-000025,control,2026-06-04 16:30:00,confirmed,dolor de oído,J00,Resfriado común,presencial,"Emergencia, creo que estoy teniendo un infarto","Emergencia, creo que estoy teniendo un infarto",emergencia,PICHANAKI-TCK-859396,1,1,0,0,24.6,2,37,24.2,0,2026-04-13 00:50:46
Lidia Rodríguez Silva,Puerto Bermúdez,Lidia,Rodríguez Silva,36,F,45186708,958912085,lidia.rodriguez938@gmail.com,EsSalud,San Luis de Shuaro,Nutrición,media,Malestar estomacal persistente,2026-07-10,10:30,manana,confirmed,medio,26,Peru,Junín,Chanchamayo,120305,Centro de Salud San Ramón,Centro de Salud,17,F,1989-07-02,9,Dra. Ruth Campos Untiveros,Nutrición,ruth.camposuntiveros@hospitalpichanaki.gob.pe,26,PICHANAKI-CIT-000026,resultados,2026-07-10 10:30:00,confirmed,dolor abdominal,E66,Obesidad,web,Podría darme información sobre los doctores de la especialidad de neurología,Podría darme información sobre los doctores de la especialidad de neurología,consultar_doctor,PICHANAKI-TCK-262029,1,0,0,0,34.5,38,68,57.0,0,2026-04-03 00:50:46
Ruth Cruz Cruz,Buenos Aires,Ruth,Cruz Cruz,75,F,23335151,993960299,ruth.cruz844@gmail.com,EsSalud,Villa Rica,Cardiología,media,Control de crecimiento y desarrollo,2026-06-01,08:00,manana,completed,alto,27,Peru,Junín,Chanchamayo,120306,Puesto de Salud Río Negro,Puesto de Salud,18,F,1950-12-18,9,Dr. Fernando García Torres,Cardiología,fernando.garciatorres@hospitalpichanaki.gob.pe,27,PICHANAKI-CIT-000027,primera_vez,2026-06-01 08:00:00,completed,control niño sano,I48,Fibrilación auricular,voz_ia,"Hola, me puede decir a qué hora tengo mi cita mañana","Hola, me puede decir a qué hora tengo mi cita mañana",consultar_cita,PICHANAKI-TCK-475644,0,1,1,0,79.3,0,108,49.9,1,2026-05-25 00:50:46
Lidia Rodríguez Silva,Santa Rosa,Lidia,Rodríguez Silva,36,F,45186708,958912085,lidia.rodriguez938@gmail.com,EsSalud,San Luis de Shuaro,Ginecología,baja,Asesoría nutricional por sobrepeso,2026-05-08,18:30,tarde,completed,medio,28,Peru,Junín,Chanchamayo,120305,Centro de Salud San Ramón,Centro de Salud,17,F,1989-07-02,50,Dra. Silvia Campos Vilchez,Ginecología,silvia.camposvilchez@hospitalpichanaki.gob.pe,28,PICHANAKI-CIT-000028,control,2026-05-08 18:30:00,completed,control de peso,N97,Infertilidad femenina,whatsapp,"Buenos días, quiero consultar si mi cita está confirmada","Buenos días, quiero consultar si mi cita está confirmada",consultar_cita,PICHANAKI-TCK-819425,0,1,0,0,34.5,0,100,31.8,0,2026-05-24 00:50:46
Milagros Zevallos Mendoza,La Merced,Milagros,Zevallos Mendoza,45,F,61124122,995460786,milagros.zevallos788@gmail.com,EsSalud,Mazamari,Medicina General,baja,Tos seca y dificultad para respirar,2026-05-22,16:00,tarde,completed,alto,29,Peru,Junín,Chanchamayo,120702,Hospital de Satipo,Hospital II-1,19,F,1980-12-29,27,Dra. Rosa Salazar Huertas,Medicina General,rosa.salazarhuertas@hospitalpichanaki.gob.pe,29,PICHANAKI-CIT-000029,control,2026-05-22 16:00:00,completed,tos seca,D50,Anemia ferropénica,telefono,Quiero revisar el horario de mi consulta por favor,Quiero revisar el horario de mi consulta por favor,consultar_cita,PICHANAKI-TCK-688866,0,1,0,0,82.9,0,21,54.9,1,2026-04-17 00:50:46
Rocio Vega Vásquez,Sangani,Rocio,Vega Vásquez,19,F,38553319,914835122,rocio.vega440@gmail.com,Privado,Satipo,Emergencia,alta,Caries dental para tratamiento,2026-07-26,08:00,manana,pending,alto,30,Peru,Junín,Chanchamayo,120701,Puesto de Salud Río Negro,Puesto de Salud,20,F,2006-09-21,12,Dra. Ruth Campos Untiveros,Emergencia,ruth.camposuntiveros@hospitalpichanaki.gob.pe,30,PICHANAKI-CIT-000030,emergencia,2026-07-26 08:00:00,pending,problemas dentales,H10,Conjuntivitis,web,"Ayuda, es una emergencia, mi papá Rocio Vega Vásquez se cayó y no puede moverse","Ayuda, es una emergencia, mi papá Rocio Vega Vásquez se cayó y no puede moverse",emergencia,PICHANAKI-TCK-856648,0,1,0,2,104.6,54,29,100.0,1,2026-04-15 00:50:46
Ronald Cruz Yupanqui,Marankiari,Ronald,Cruz Yupanqui,39,M,69330166,942531655,ronald.cruz316@gmail.com,SIS,Perené,Cardiología,media,Caries dental para tratamiento,2026-05-19,12:15,manana,completed,bajo,31,Peru,Junín,Chanchamayo,120303,Hospital de Pichanaki,Hospital II-1,21,M,1986-08-06,49,Dr. Fernando García Torres,Cardiología,fernando.garciatorres@hospitalpichanaki.gob.pe,31,PICHANAKI-CIT-000031,control,2026-05-19 12:15:00,completed,problemas dentales,I50,Insuficiencia cardíaca,telefono,Quisiera cancelar la cita de mi papá porque se siente mal para viajar,Quisiera cancelar la cita de mi papá porque se siente mal para viajar,cancelar_cita,PICHANAKI-TCK-181644,0,0,0,0,22.0,0,78,15.9,1,2026-05-08 00:50:46
Martha Aguilar Silva,Villa Progreso,Martha,Aguilar Silva,62,F,21828592,941440872,martha.aguilar798@gmail.com,SIS,Perené,Urología,baja,Dolor lumbar irradiado a pierna derecha,2026-07-25,12:45,manana,confirmed,medio,32,Peru,Junín,Chanchamayo,120303,Centro de Salud Perené,Centro de Salud,22,F,1963-12-15,16,Dr. Elmer Ramírez Tapia,Urología,elmer.ramireztapia@hospitalpichanaki.gob.pe,32,PICHANAKI-CIT-000032,control,2026-07-25 12:45:00,confirmed,dolor de espalda,N40,Hiperplasia prostática,presencial,"Es una urgencia, tengo fiebre muy alta que no baja con nada","Es una urgencia, tengo fiebre muy alta que no baja con nada",emergencia,PICHANAKI-TCK-774225,1,1,0,0,12.3,53,52,25.5,0,2026-05-29 00:50:46
Yolanda Mendoza Cárdenas,Santo Domingo,Yolanda,Mendoza Cárdenas,35,F,51662236,940326905,yolanda.mendoza394@gmail.com,EsSalud,Perené,Medicina General,alta,Traumatismo por caída en vía pública,2026-06-15,13:15,tarde,pending,medio,33,Peru,Junín,Chanchamayo,120303,Microred Pichanaki,Microred,23,F,1991-05-05,21,Dra. Carmen Ramos López,Medicina General,carmen.ramoslopez@hospitalpichanaki.gob.pe,33,PICHANAKI-CIT-000033,control,2026-06-15 13:15:00,pending,herida,D50,Anemia ferropénica,web,"No voy a poder ir a mi cita, por favor cancélela","No voy a poder ir a mi cita, por favor cancélela",cancelar_cita,PICHANAKI-TCK-506235,0,1,0,0,25.8,13,64,29.0,0,2026-05-27 00:50:46
Nelly Chávez Paucar,Puerto Yurinaki,Nelly,Chávez Paucar,64,F,30182766,935139635,nelly.chavez961@gmail.com,SIS,Perené,Cardiología,media,Urticaria por posible alergia alimentaria,2026-05-30,10:15,manana,completed,medio,34,Peru,Junín,Chanchamayo,120303,Hospital de Pichanaki,Hospital II-1,24,F,1961-08-14,42,Dr. Alberto Ramírez Chávez,Cardiología,alberto.ramirezchavez@hospitalpichanaki.gob.pe,34,PICHANAKI-CIT-000034,control,2026-05-30 10:15:00,completed,alergias,I48,Fibrilación auricular,web,"No voy a poder ir a mi cita, por favor cancélela","No voy a poder ir a mi cita, por favor cancélela",cancelar_cita,PICHANAKI-TCK-908320,0,1,0,0,22.9,0,24,0.0,1,2026-04-24 00:50:46
